varsta,gen,educatie,venit_anual,vechime,tip_locuinta,valoare_credit,rata_dobanzii,procent_credit_din_venit,ani_istoric_credit,istoric_neplata,status_credit
22,feminin,Master,71948,0,Inchiriat,35000,16.02,0.49,3,0,1
21,feminin,Liceu,12282,0,Proprietate,1000,11.14,0.08,2,1,0
25,feminin,Liceu,12438,3,Ipotecata,5500,12.87,0.44,3,0,1
23,feminin,Licenta,79753,0,Inchiriat,35000,15.23,0.44,2,0,1
24,masculin,Master,66135,1,Inchiriat,35000,14.27,0.53,4,0,1
21,feminin,Liceu,12951,0,Proprietate,2500,7.14,0.19,2,0,1
26,feminin,Licenta,93471,1,Inchiriat,35000,12.42,0.37,3,0,1
24,feminin,Liceu,95550,5,Inchiriat,35000,11.11,0.37,4,0,1
24,feminin,Postliceala,100684,3,Inchiriat,35000,8.9,0.35,2,0,1
21,feminin,Liceu,12739,0,Proprietate,1600,14.74,0.13,3,0,1
22,feminin,Liceu,102985,0,Inchiriat,35000,10.37,0.34,4,0,1
21,feminin,Postliceala,13113,0,Proprietate,4500,8.63,0.34,2,0,1
23,masculin,Licenta,114860,3,Inchiriat,35000,7.9,0.3,2,0,1
26,masculin,Master,130713,0,Inchiriat,35000,18.39,0.27,4,0,1
23,feminin,Postliceala,138998,0,Inchiriat,35000,7.9,0.25,4,0,0
23,feminin,Master,600891,5,Ipotecata,30000,10.65,0.05,3,1,0
23,masculin,Licenta,144943,0,Inchiriat,35000,7.9,0.24,4,0,0
23,feminin,Liceu,111369,0,Inchiriat,35000,20,0.31,4,0,1
23,masculin,Licenta,136628,0,Inchiriat,35000,18.25,0.26,4,0,1
24,feminin,Master,14283,1,Ipotecata,1750,10.99,0.12,2,0,1
25,masculin,Licenta,195718,0,Inchiriat,35000,7.49,0.18,4,1,0
25,masculin,Liceu,165792,4,Inchiriat,34800,16.77,0.21,2,0,0
22,feminin,Master,79255,0,Inchiriat,34000,17.58,0.43,4,0,1
24,feminin,Licenta,13866,0,Proprietate,1500,7.29,0.11,3,1,0
22,masculin,Licenta,97420,1,Inchiriat,33950,14.54,0.35,4,0,1
24,feminin,Liceu,82443,0,Inchiriat,33000,12.68,0.4,3,0,1
21,feminin,Postliceala,14288,0,Ipotecata,4575,17.74,0.32,3,0,1
23,masculin,Liceu,14293,0,Proprietate,1400,9.32,0.1,3,0,0
24,feminin,Licenta,79054,1,Inchiriat,32500,9.99,0.41,3,0,1
21,feminin,Licenta,14988,0,Altul,4000,12.84,0.27,2,0,1
21,masculin,Liceu,14858,0,Proprietate,2000,11.12,0.13,3,0,1
25,masculin,Licenta,144855,1,Inchiriat,32000,6.62,0.22,2,1,0
26,masculin,Licenta,114645,2,Inchiriat,31050,14.17,0.27,3,0,1
25,feminin,Liceu,368115,3,Inchiriat,24250,13.85,0.07,3,1,0
26,feminin,Postliceala,361076,1,Ipotecata,7800,13.49,0.02,4,0,0
21,masculin,Postliceala,15150,0,Proprietate,2500,7.51,0.17,4,0,1
22,feminin,Licenta,58868,0,Inchiriat,30000,18.39,0.51,2,0,1
24,masculin,Liceu,78026,3,Inchiriat,30000,14.54,0.38,3,0,1
25,masculin,Licenta,90785,4,Inchiriat,30000,16.89,0.33,4,0,1
23,feminin,Liceu,86811,0,Inchiriat,30000,11.01,0.35,4,0,1
26,masculin,Licenta,75503,5,Inchiriat,30000,17.99,0.4,2,0,1
24,feminin,Liceu,15082,0,Proprietate,2500,12.69,0.17,3,0,1
26,masculin,Licenta,361293,5,Ipotecata,20000,7.88,0.06,4,1,0
23,masculin,Liceu,361547,0,Proprietate,24250,19.41,0.07,2,1,0
26,masculin,Master,360680,5,Proprietate,10000,10.38,0.03,4,0,0
26,masculin,Licenta,360977,5,Ipotecata,25000,15.33,0.07,3,1,0
25,feminin,Licenta,361244,2,Ipotecata,18000,16.45,0.05,3,0,0
26,masculin,Licenta,98230,2,Inchiriat,30000,7.49,0.31,3,0,1
22,feminin,Liceu,80838,0,Inchiriat,30000,12.69,0.37,3,0,1
26,masculin,Master,107957,2,Inchiriat,30000,6.62,0.28,3,0,1
24,feminin,Licenta,94649,2,Inchiriat,30000,11.01,0.32,4,0,1
23,masculin,Liceu,94550,1,Inchiriat,30000,18.62,0.32,3,0,1
23,masculin,Licenta,111153,3,Inchiriat,30000,15.23,0.27,3,0,1
23,feminin,Postliceala,117250,0,Inchiriat,30000,10.65,0.26,2,0,1
25,masculin,Licenta,144985,3,Inchiriat,30000,7.9,0.21,4,0,0
26,masculin,Liceu,337133,7,Inchiriat,10000,15.96,0.03,3,1,0
26,masculin,Postliceala,333566,2,Inchiriat,20000,11.48,0.06,3,1,0
23,masculin,Licenta,333399,1,Proprietate,35000,11.01,0.1,4,0,0
25,masculin,Master,154793,1,Inchiriat,30000,7.29,0.19,4,1,0
24,masculin,Postliceala,15229,1,Proprietate,1750,11.01,0.11,3,1,0
21,feminin,Licenta,158338,0,Inchiriat,30000,5.99,0.19,4,1,0
22,feminin,Licenta,331034,0,Proprietate,12000,11.58,0.04,2,1,0
26,feminin,Liceu,316466,6,Ipotecata,10000,11.01,0.03,4,0,1
25,feminin,Postliceala,267671,0,Ipotecata,25000,15.7,0.09,2,0,1
22,masculin,Master,85191,0,Inchiriat,29100,15.99,0.34,3,0,1
22,masculin,Postliceala,15013,0,Ipotecata,1500,14.84,0.1,3,0,0
26,masculin,Licenta,313100,3,Proprietate,28000,10.99,0.09,3,1,0
25,feminin,Licenta,311952,0,Ipotecata,20000,14.42,0.06,2,1,0
24,masculin,Liceu,306897,5,Ipotecata,9600,6.99,0.03,2,1,0
25,feminin,Licenta,301136,0,Inchiriat,25000,13.49,0.08,4,1,0
25,masculin,Liceu,15162,1,Proprietate,3000,11.01,0.2,3,0,1
22,masculin,Postliceala,69042,0,Inchiriat,28000,11.01,0.41,2,0,1
