varsta,gen,educatie,venit_anual,vechime,tip_locuinta,valoare_credit,rata_dobanzii,procent_credit_din_venit,ani_istoric_credit,istoric_neplata,status_credit
22,feminin,Master,413425,0,Inchiriat,2897142,16.02,7.01,3,0,0
21,feminin,Liceu,288133,0,Proprietate,2247439,11.14,7.8,2,1,0
25,feminin,Liceu,141142,3,Ipotecata,740410,12.87,5.25,3,0,0
23,feminin,Licenta,294968,0,Inchiriat,2168792,15.23,7.35,2,0,0
24,masculin,Master,300669,1,Inchiriat,2378176,14.27,7.91,4,0,0
21,feminin,Liceu,186040,0,Proprietate,1050299,7.14,5.65,2,0,0
26,feminin,Licenta,242433,1,Inchiriat,953899,12.42,3.93,3,0,1
24,feminin,Liceu,418395,5,Inchiriat,1640482,11.11,3.92,4,0,1
24,feminin,Postliceala,379626,3,Inchiriat,1716324,8.9,4.52,2,0,1
21,feminin,Liceu,334846,0,Proprietate,1819159,14.74,5.43,3,0,1
22,feminin,Liceu,250493,0,Inchiriat,1981196,10.37,7.91,4,0,0
21,feminin,Postliceala,243411,0,Proprietate,1645961,8.63,6.76,2,0,0
23,masculin,Licenta,361763,3,Inchiriat,2542136,7.9,7.03,2,0,0
26,masculin,Master,151086,0,Inchiriat,478970,18.39,3.17,4,0,1
23,feminin,Postliceala,124417,0,Inchiriat,850852,7.9,6.84,4,0,0
23,feminin,Master,358191,5,Ipotecata,2493068,10.65,6.96,3,1,0
23,masculin,Licenta,417727,0,Inchiriat,2583147,7.9,6.18,4,0,0
23,feminin,Liceu,216892,0,Inchiriat,113252,20.0,0.52,4,0,1
23,masculin,Licenta,26152,0,Inchiriat,50913,18.25,1.95,4,0,1
24,feminin,Master,411011,1,Ipotecata,2129655,10.99,5.18,2,0,0
25,masculin,Licenta,68066,0,Inchiriat,232148,7.49,3.41,4,1,0
25,masculin,Liceu,348050,4,Inchiriat,2378205,16.77,6.83,2,0,0
22,feminin,Master,200739,0,Inchiriat,534634,17.58,2.66,4,0,1
24,feminin,Licenta,432755,0,Proprietate,1846578,7.29,4.27,3,1,0
22,masculin,Licenta,340708,1,Inchiriat,2327667,14.54,6.83,4,0,0
24,feminin,Liceu,273555,0,Inchiriat,1979920,12.68,7.24,3,0,0
21,feminin,Postliceala,152521,0,Ipotecata,544995,17.74,3.57,3,0,1
23,masculin,Liceu,92834,0,Proprietate,252889,9.32,2.72,3,0,1
24,feminin,Licenta,357879,1,Inchiriat,1193743,9.99,3.34,3,0,1
21,feminin,Licenta,329699,0,Altul,1245321,12.84,3.78,2,0,1
21,masculin,Liceu,401889,0,Proprietate,614755,11.12,1.53,3,0,1
25,masculin,Licenta,90294,1,Inchiriat,432703,6.62,4.79,2,1,0
26,masculin,Licenta,172313,2,Inchiriat,1005213,14.17,5.83,3,0,0
25,feminin,Liceu,127427,3,Inchiriat,536068,13.85,4.21,3,1,0
26,feminin,Postliceala,256683,1,Ipotecata,1798999,13.49,7.01,4,0,0
21,masculin,Postliceala,46686,0,Proprietate,26523,7.51,0.57,4,0,1
22,feminin,Licenta,261071,0,Inchiriat,1876731,18.39,7.19,2,0,0
24,masculin,Liceu,318888,3,Inchiriat,2324304,14.54,7.29,3,0,0
25,masculin,Licenta,149317,4,Inchiriat,755940,16.89,5.06,4,0,1
23,feminin,Liceu,67971,0,Inchiriat,162948,11.01,2.4,4,0,1
26,masculin,Licenta,67401,5,Inchiriat,188672,17.99,2.8,2,0,1
24,feminin,Liceu,242589,0,Proprietate,1199770,12.69,4.95,3,0,0
26,masculin,Licenta,103818,5,Ipotecata,553732,7.88,5.33,4,1,0
23,masculin,Liceu,352141,0,Proprietate,2200376,19.41,6.25,2,1,0
26,masculin,Master,133655,5,Proprietate,366054,10.38,2.74,4,0,1
26,masculin,Licenta,48461,5,Ipotecata,186076,15.33,3.84,3,1,0
25,feminin,Licenta,371847,2,Ipotecata,858864,16.45,2.31,3,0,1
26,masculin,Licenta,72387,2,Inchiriat,470582,7.49,6.5,3,0,0
22,feminin,Liceu,91521,0,Inchiriat,595675,12.69,6.51,3,0,0
