varsta,gen,educatie,venit_anual,vechime,tip_locuinta,valoare_credit,rata_dobanzii,procent_credit_din_venit,ani_istoric_credit,istoric_neplata,status_credit
22,0,3,71948,0,1,35000,16.02,0.49,3,0,1
21,0,2,12282,0,3,1000,11.14,0.08,2,1,0
25,0,2,12438,3,2,5500,12.87,0.44,3,0,1
23,0,1,79753,0,1,35000,15.23,0.44,2,0,1
24,1,3,66135,1,1,35000,14.27,0.53,4,0,1
21,0,2,12951,0,3,2500,7.14,0.19,2,0,1
26,0,1,93471,1,1,35000,12.42,0.37,3,0,1
24,0,2,95550,5,1,35000,11.11,0.37,4,0,1
24,0,4,100684,3,1,35000,8.9,0.35,2,0,1
21,0,2,12739,0,3,1600,14.74,0.13,3,0,1
22,0,2,102985,0,1,35000,10.37,0.34,4,0,1
21,0,4,13113,0,3,4500,8.63,0.34,2,0,1
23,1,1,114860,3,1,35000,7.9,0.3,2,0,1
26,1,3,130713,0,1,35000,18.39,0.27,4,0,1
23,0,4,138998,0,1,35000,7.9,0.25,4,0,0
23,0,3,600891,5,2,30000,10.65,0.05,3,1,0
23,1,1,144943,0,1,35000,7.9,0.24,4,0,0
23,0,2,111369,0,1,35000,20.0,0.31,4,0,1
23,1,1,136628,0,1,35000,18.25,0.26,4,0,1
24,0,3,14283,1,2,1750,10.99,0.12,2,0,1
25,1,1,195718,0,1,35000,7.49,0.18,4,1,0
25,1,2,165792,4,1,34800,16.77,0.21,2,0,0
22,0,3,79255,0,1,34000,17.58,0.43,4,0,1
24,0,1,13866,0,3,1500,7.29,0.11,3,1,0
22,1,1,97420,1,1,33950,14.54,0.35,4,0,1
24,0,2,82443,0,1,33000,12.68,0.4,3,0,1
21,0,4,14288,0,2,4575,17.74,0.32,3,0,1
23,1,2,14293,0,3,1400,9.32,0.1,3,0,0
24,0,1,79054,1,1,32500,9.99,0.41,3,0,1
21,0,1,14988,0,0,4000,12.84,0.27,2,0,1
21,1,2,14858,0,3,2000,11.12,0.13,3,0,1
25,1,1,144855,1,1,32000,6.62,0.22,2,1,0
26,1,1,114645,2,1,31050,14.17,0.27,3,0,1
25,0,2,368115,3,1,24250,13.85,0.07,3,1,0
26,0,4,361076,1,2,7800,13.49,0.02,4,0,0
21,1,4,15150,0,3,2500,7.51,0.17,4,0,1
22,0,1,58868,0,1,30000,18.39,0.51,2,0,1
24,1,2,78026,3,1,30000,14.54,0.38,3,0,1
25,1,1,90785,4,1,30000,16.89,0.33,4,0,1
23,0,2,86811,0,1,30000,11.01,0.35,4,0,1
26,1,1,75503,5,1,30000,17.99,0.4,2,0,1
24,0,2,15082,0,3,2500,12.69,0.17,3,0,1
26,1,1,361293,5,2,20000,7.88,0.06,4,1,0
23,1,2,361547,0,3,24250,19.41,0.07,2,1,0
26,1,3,360680,5,3,10000,10.38,0.03,4,0,0
26,1,1,360977,5,2,25000,15.33,0.07,3,1,0
25,0,1,361244,2,2,18000,16.45,0.05,3,0,0
26,1,1,98230,2,1,30000,7.49,0.31,3,0,1
22,0,2,80838,0,1,30000,12.69,0.37,3,0,1
26,1,3,107957,2,1,30000,6.62,0.28,3,0,1
24,0,1,94649,2,1,30000,11.01,0.32,4,0,1
23,1,2,94550,1,1,30000,18.62,0.32,3,0,1
23,1,1,111153,3,1,30000,15.23,0.27,3,0,1
23,0,4,117250,0,1,30000,10.65,0.26,2,0,1
25,1,1,144985,3,1,30000,7.9,0.21,4,0,0
26,1,2,337133,7,1,10000,15.96,0.03,3,1,0
26,1,4,333566,2,1,20000,11.48,0.06,3,1,0
23,1,1,333399,1,3,35000,11.01,0.1,4,0,0
25,1,3,154793,1,1,30000,7.29,0.19,4,1,0
24,1,4,15229,1,3,1750,11.01,0.11,3,1,0
21,0,1,158338,0,1,30000,5.99,0.19,4,1,0
22,0,1,331034,0,3,12000,11.58,0.04,2,1,0
26,0,2,316466,6,2,10000,11.01,0.03,4,0,1
25,0,4,267671,0,2,25000,15.7,0.09,2,0,1
22,1,3,85191,0,1,29100,15.99,0.34,3,0,1
22,1,4,15013,0,2,1500,14.84,0.1,3,0,0
26,1,1,313100,3,3,28000,10.99,0.09,3,1,0
25,0,1,311952,0,2,20000,14.42,0.06,2,1,0
